comparison,baseline,candidate,delta_val_accuracy,delta_val_macro_f1,delta_val_balanced_accuracy,delta_lock_accuracy,delta_lock_macro_f1,delta_lock_balanced_accuracy,train_time_ratio
Abstract / RoBERTa,Abstract RoBERTa LS,Abstract RoBERTa AT-BSFGM,1.4166666666666856,1.6086460145119759,1.4762638794738763,0.48611111111111427,0.7513231737424064,0.6765306340751351,1.5845690101087766
Abstract / MacBERT,Abstract MacBERT LS,Abstract MacBERT AT-BSFGM,0.8333333333333428,0.8840966891406197,0.8347348217381523,0.48611111111110006,0.5967128318480519,0.5340869950423865,1.975549905472591
Title / MacBERT,Title MacBERT LS,Title MacBERT AT-BSFGM,0.7000000000000028,1.33401294789752,2.6359772617190345,-0.0833333333333286,0.2614792390775733,1.2216379545501184,1.591239407066718
