family,n_seeds,val_accuracy,val_accuracy_sd,val_macro_f1,val_macro_f1_sd,val_balanced_accuracy,val_balanced_accuracy_sd,lock_accuracy,lock_accuracy_sd,lock_macro_f1,lock_macro_f1_sd,lock_balanced_accuracy,lock_balanced_accuracy_sd,sec,sec_sd
Abstract RoBERTa LS,3,67.27777777777777,0.6472877887628364,64.59061445002824,0.960059916940182,64.12899899834133,0.7837852009212726,68.95833333333333,0.5208333333333357,65.1007289392718,0.7601546252756861,64.63830945320582,0.7229852540217507,2076.103197944341,226.49247009392616
Abstract RoBERTa AT-BSFGM,3,68.69444444444446,0.630989816200032,66.19926046454022,0.5599559818712643,65.6052628778152,0.6792849482989869,69.44444444444444,0.4336804165554424,65.85205211301421,0.6625247930407717,65.31484008728096,0.5948979069249046,3289.72878925033,137.38723331647415
Abstract MacBERT LS,3,67.8611111111111,0.7742977702647967,65.09192293485864,0.8423637836859134,64.5946066323312,0.6813505180268603,69.40972222222223,0.5737052653423,65.70531421328792,0.13795743116669057,65.01588915521468,0.3693414043972503,1969.8204421803337,271.6103746988369
Abstract MacBERT AT-BSFGM,3,68.69444444444444,0.26787918780536085,65.97601962399926,0.5360786067734246,65.42934145406936,0.40407658226016113,69.89583333333333,0.7291666666666704,66.30202704513597,0.40576845301855785,65.54997615025707,0.4761123400979378,3891.4785883473355,153.5999088650349
Title MacBERT LS,3,81.63333333333333,0.2081665999466151,72.49808263089815,0.9032527238604747,71.23453310579067,1.3713810835403002,82.5,0.649519052838329,75.75824155096944,0.9754173192729374,74.48648320772513,0.5225395330011467,427.0539664859971,0.9259368749474796
Title MacBERT AT-BSFGM,3,82.33333333333333,0.3214550253664298,73.83209557879567,0.4798820605213847,73.87051036750971,0.8840279667673213,82.41666666666667,0.7216878364870322,76.01972079004702,1.4429758349820707,75.70812116227525,1.3897236055030922,679.545100416668,1.1587844508530585
