task,encoder,method,val_accuracy,val_macro_f1,val_balanced_accuracy,lock_accuracy,lock_macro_f1,lock_balanced_accuracy,train_seconds
Abstract-to-discipline,RoBERTa-WWM,Label smoothing,67.27777777777777,64.59061445002824,64.12899899834133,68.95833333333333,65.1007289392718,64.63830945320582,2076.103197944341
Abstract-to-discipline,RoBERTa-WWM,AutoTail-BSFGM,68.69444444444446,66.19926046454022,65.6052628778152,69.44444444444444,65.85205211301421,65.31484008728096,3289.72878925033
Abstract-to-discipline,MacBERT,Label smoothing,67.8611111111111,65.09192293485864,64.5946066323312,69.40972222222223,65.70531421328792,65.01588915521468,1969.8204421803337
Abstract-to-discipline,MacBERT,AutoTail-BSFGM,68.69444444444444,65.97601962399926,65.42934145406936,69.89583333333333,66.30202704513597,65.54997615025707,3891.478588347335
Title-to-category,MacBERT,Label smoothing,81.63333333333333,72.49808263089815,71.23453310579067,82.5,75.75824155096944,74.48648320772513,427.0539664859971
Title-to-category,MacBERT,AutoTail-BSFGM,82.33333333333333,73.83209557879567,73.87051036750971,82.41666666666667,76.01972079004702,75.70812116227525,679.545100416668
